,Month,Year,Category,ProvidedValue,Country
10937,7,2016,Hydro_Mixed_pumped_storage_non_renewable,25.84,DE
10938,7,2016,Hydro_Mixed_pumped_storage_renewable,,DE
10939,7,2016,Other_non_renewable,,DE
10940,7,2016,Solar_PV,4845.26,DE
10941,7,2016,Solar_Thermal,,DE
10942,7,2016,Waste_non_renewable,443.95,DE
10943,7,2016,Waste_renewable,443.95,DE
10944,7,2016,Consumption_of_pumps,564.36,DE
10945,7,2016,Transmission losses,529.63,DE
10946,8,2016,Biomass,3252.82,DE
10947,8,2016,Fossil_Brown_coal_Lignite,11093.17,DE
10948,8,2016,Fossil_Coal_derived_gas,,DE
10949,8,2016,Fossil_Gas,5005.09,DE
10950,8,2016,Fossil_Hard_coal,6428.07,DE
10951,8,2016,Fossil_Oil,275.08,DE
10952,8,2016,Fossil_Oil_shale,,DE
10953,8,2016,Fossil_Peat,,DE
10954,8,2016,Geothermal,11.65,DE
10955,8,2016,Hydro_Pure_pumped_Storage,415.35,DE
10956,8,2016,Hydro_RunOfRiver_and_poundage,1787.71,DE
10957,8,2016,Hydro_Pure_storage,64.76,DE
10958,8,2016,Hydro_Marine,,DE
10959,8,2016,Nuclear,7000.41,DE
10960,8,2016,Other_renewable,114.69,DE
10961,8,2016,Wind_offshore,885.87,DE
10962,8,2016,Wind_onshore,3971.49,DE
10963,8,2016,Non_identified_net_gen,,DE
10964,8,2016,Imports,1979.29,DE
10965,8,2016,Exports,5741.99,DE
10966,8,2016,Biogas,,DE
10967,8,2016,Fossil_Mixed_fuels,369.36,DE
10968,8,2016,Fossil_Other,,DE
10969,8,2016,Hydro_Mixed_pumped_storage_non_renewable,15.77,DE
10970,8,2016,Hydro_Mixed_pumped_storage_renewable,,DE
10971,8,2016,Other_non_renewable,,DE
10972,8,2016,Solar_PV,4665.58,DE
10973,8,2016,Solar_Thermal,,DE
10974,8,2016,Waste_non_renewable,456.7,DE
10975,8,2016,Waste_renewable,456.7,DE
10976,8,2016,Consumption_of_pumps,553.81,DE
10977,8,2016,Transmission losses,517.33,DE
10978,9,2016,Biomass,3137.34,DE
10979,9,2016,Fossil_Brown_coal_Lignite,11597.07,DE
10980,9,2016,Fossil_Coal_derived_gas,,DE
10981,9,2016,Fossil_Gas,6775.2,DE
10982,9,2016,Fossil_Hard_coal,8709.85,DE
10983,9,2016,Fossil_Oil,307.19,DE
10984,9,2016,Fossil_Oil_shale,,DE
10985,9,2016,Fossil_Peat,,DE
10986,9,2016,Geothermal,11.17,DE
10987,9,2016,Hydro_Pure_pumped_Storage,420.37,DE
10988,9,2016,Hydro_RunOfRiver_and_poundage,1329.15,DE
10989,9,2016,Hydro_Pure_storage,50.14,DE
